name,phone,money,rating,reviewCount,detail_url,business_website,popular_dishes,address,claimed,type,business_highlights,business_owner,about_business
Yokai SF,,,4,15,https://www.yelp.com/biz/yokai-sf-san-francisco?osq=Restaurants,yokaisf.com,,"545 Mission St San Francisco, CA 94105",,"Japanese, Cocktail Bars",,,"speciality:


historyText:


businessOwnerBio:
"
Sisterita,(415) 649-1919,$$,4.7,350,https://www.yelp.com/biz/sisterita-san-francisco?osq=Restaurants,sisterita.com,"Voila French Toast Brioche, Grilled Cheese & French Onion Soup, Waffle and Fried Chicken, Alcatraz Escape, Tartine Avocado Toast, 2 Eggs with Spicy Honey Glazed Bacon, Basil Minced Chicken, Emerald Egg Benny","669 Commercial St San Francisco, CA 94111",Claimed,"Breakfast & Brunch, American (New), Asian Fusion","Takes Reservations,Offers Delivery,Offers Takeout",,"speciality:
Best Breakfast & Brunch & Lunch Experience in Town. 

historyText:
None

businessOwnerBio:
None"
Inle Burmese Cuisine,(415) 374-7378,$$,4.2,218,https://www.yelp.com/biz/inle-burmese-cuisine-san-francisco?osq=Restaurants,inleburmesecuisine.com,"Tea Leaf Salad, Garlic Noodles, Coconut Noodle Soup, Chicken Curry, Golden Bags, Beef Curry, Samosa Soup, Fish Chowder Noodle Soup, Nan Pya Noodle Salad, Chicken Coconut Soup, Pot Stickers, ** Braised Pork Belly, Silver Noodle Soup, Coconut Rice, Pork Curry, Egg Rolls, ** Nan Gyi Thoke Noodle Salad, Pineapple Fried Rice","822 Irving St San Francisco, CA 94122",Claimed,"Burmese, Noodles, Thai","Offers Delivery,Offers Takeout",,"speciality:
Sharing our fresh homemade recipe with Burmese (Myanmar) and selective Thai authentic taste to our customers in best knowledge of customer service.

historyText:
We just moved our first Burmese Casual Restaurant to this new Inner Sunset location “822 Irving St, SF” from Noe Valley location! 

businessOwnerBio:
None"
Billingsgate,(415) 590-3001,,4.5,80,https://www.yelp.com/biz/billingsgate-san-francisco?osq=Restaurants,billingsgatesf.com,"Clam Chowder, Fresh Fish, Crab Salad, Poke Bowls, Octopus Carpaccio, Kampachi, Maine Lobster Salad, Miyagi Oysters, Hamachi Crudo, Trout, Spanish Tomato Toasts, Clam Ceviche, Iberico Ham, Dungeness Crab, Crab Sandwich","3859 24th St San Francisco, CA 94114",Claimed,"Seafood, Bars, Seafood Markets","Offers Takeout,Accepts Credit Cards",,"speciality:


historyText:


businessOwnerBio:
"
Lime Tree Southeast Asian Kitchen,(415) 665-1415,$$,4,1570,https://www.yelp.com/biz/lime-tree-southeast-asian-kitchen-san-francisco?osq=Restaurants,limetreesoutheastasiankitchens…,"Singaporean Curry Noodle, Beef Rendang Combo, Roti Pratha, Corn Fritters, Martabak, Nasi Goreng, Mie Tek-tek, Chicken Satay, Basil Tofu, Roasted Chicken, Potato Cakes, Tofu and Shrimp, Shrimp Noodle, Pork Spareribs, Yogurt Chicken, Steamed Jasmine Rice","450 Irving St San Francisco, CA 94122",Claimed,"Malaysian, Indonesian, Noodles","Offers Takeout,Vegan Options",,"speciality:


historyText:


businessOwnerBio:
"
Zajang Grill,(628) 283-0427,$$$,4.6,100,https://www.yelp.com/biz/zajang-grill-san-francisco?osq=Restaurants,zajanggrill.com,"Korean BBQ, River Prawns, Pork Belly, Steamed Egg, Marinated Short Ribs, Beef Short Ribs, Big Fresh Water Prawns, Calamari Steak, Beef Brisket, Beef Bulgogi, Beef Tongue, Marinated Beef, Bacon Wrapped Enoki, Gyoza, Crispy Chicken, Tempura Shrimp","852 Clement St San Francisco, CA 94118",Claimed,"Korean, Buffets, Barbeque","Casual, Trendy",,"speciality:
Fresh.
Authentic.
Delicious.
Zajang Grill brings a unique dining experience to the San Francisco Bay Area. 
We carefully choose the best premium meats, seafood and sides to serve to you in an all-you-can-eat, grill-your-own-meat experience you won't soon forget. With unique sauces and marinades you won't find anywhere else, Zajang Grill truly stands out from the rest. Choose from our outstanding selection of items and order as much as you like, all for one fixed price. Complement it all with our unique selection of beers and rice wines, along with a variety of non-alcoholic options, and our speciality desserts, for the full experience. Come enjoy our unique atmosphere that will have you coming back for more.  

historyText:
None

businessOwnerBio:
None"
Han Il Kwan,(415) 752-4447,$$,4,1925,https://www.yelp.com/biz/han-il-kwan-san-francisco?osq=Restaurants,,"Soft Tofu Soup, Steamed Eggs in a Hot Pot, Marinated Spicy Pork, Pork Belly, Spicy Beef Rib Eye, Marinated Chicken","1802 Balboa St San Francisco, CA 94121",Claimed,"Korean, Barbeque","Takes Reservations,Offers Takeout",,"speciality:
Offering delicious Korean cuisine, with fast and friendly service. Come by to try our Korean BBQ cooked right at your table and other Korean dishes! Popular menu items include Galbi (Beef Short rib), Hot stone Bibimbap, Japchae, and Seafood Pancake.

historyText:
None

businessOwnerBio:
None"
Andina,(415) 287-6599,,5,5,https://www.yelp.com/biz/andina-san-francisco-2?osq=Restaurants,andinasf.com,,"205 Franklin St San Francisco, CA 94102",Claimed,"Venezuelan, Pop-Up Restaurants, Comfort Food",Street Parking,,"speciality:


historyText:


businessOwnerBio:
"
Sing Siu Zai Min,(415) 571-8340,,4.6,68,https://www.yelp.com/biz/sing-siu-zai-min-san-francisco?osq=Restaurants,,"Brisket King Ramen, 6 Piece Xiao Long Bao, 4 Piece Pan-fried Pork Bun, Tan Tan Ramen, Wonton Noodle Soup, Zha Jiang Noodles, Chicken Karaage, Ika Karaage, Calamari, 3 Piece Spinach Dumplings, 4 Piece Maan Tau, Chicken Dumpling, Shoyu Chashu Ramen","321 W Portal Ave Ste A San Francisco, CA 94127",Claimed,"Dim Sum, Asian Fusion","Takes Reservations,Offers Delivery,Offers Takeout",,"speciality:
Bringing together the best of Asian cuisine

historyText:
None

businessOwnerBio:
None"
Jane on Fillmore,(415) 931-5263,$$,3.9,1165,https://www.yelp.com/biz/jane-on-fillmore-san-francisco-2?osq=Restaurants,itsjane.com,"Egg White Panini, Asian Chicken Salad, Super Super Healthy, Smoked Salmon Toast","2123 Fillmore St San Francisco, CA 94115",Claimed,"Coffee & Tea, Bakeries, Breakfast & Brunch","Offers Delivery,Offers Takeout",,"speciality:
We feature housemade baked goods, Equator Coffee, and a wide variety of breakfast and lunch items, including many gluten free and/or vegan options. We have several small tables and stools as well as some comfy sofa chairs suitable for a quick snack, coffee date with friends, or leisurely lunch. 

We serve the full menu everyday from opening to 3pm. From 3pm to 4pm, we are still open for coffee and pastries.

historyText:
Chef Amanda Michael opened the doors on Fillmore to Jane (named after her daughter) on February 7th in hopes of creating a ""third space"" in the neighborhood offering excellent housemade pastries and well crafted coffee.

businessOwnerBio:
None"
Vico Cavone,(415) 226-7800,,3.8,171,https://www.yelp.com/biz/vico-cavone-san-francisco?osq=Restaurants,vicocavone.com,"Margherita Pizza, Pasta E Patate, Arancini, Caprese Salad, San Daniele Pizza, Aperol Spritz, Calzone, Citrus Salad, Chocolate and Raspberries, Pasta Alla Nerano, Mortadella Pizza, Mokamisu, Sausage Pizza, Salsiccia, Bruschetta","4248 18th St San Francisco, CA 94114",Claimed,"Italian, Pizza, Cocktail Bars","Takes Reservations,Offers Delivery,Offers Takeout,Walk-ins Welcome",,"speciality:


historyText:


businessOwnerBio:
"
Yakiniku Shodai,(415) 757-0201,,4.8,56,https://www.yelp.com/biz/yakiniku-shodai-san-francisco?osq=Restaurants,shodaisf.com,"Beef Tongue, Yakishabu, Short Rib, Harami, King Oyster, Assorted Namuru, Black Cod, Hokkaido Scallops, Parmesan Eggplant, Wild Cod, Chateaubriand","1420 Market St San Francisco, CA 94102",Claimed,"Japanese, Barbeque",Takes Reservations,,"speciality:


historyText:


businessOwnerBio:
"
Big Fish House,(628) 432-3733,,4.9,42,https://www.yelp.com/biz/big-fish-house-san-francisco?osq=Restaurants,,"Double Toro Roll, Big Fish Omakase, Kumamoto Oysters, Chawanmushi, Soft Shell Crab, Abalone, Chicken Wings, Dragon Roll, Udon, Ankimo, Spider Rainbow Roll, Omakase Nigiri, Veggie Tempura, Saba Shioyaki Bowl, Hokkaido Scallop, Salmon Teriyaki, Wagyu","2109 Clement St San Francisco, CA 94121",Claimed,"Sushi Bars, Japanese, Cocktail Bars","Takes Reservations,Offers Delivery,Offers Takeout,Walk-ins Welcome",Julie H.,"speciality:
At Big Fish House Omakase, our passion for perfection shines through in every detail. With meticulous dedication, our staff ensures a personalized experience, crafting a custom omakase menu that aligns precisely with your preferences. We source only the freshest, premium fish from Japan and beyond, expertly prepared by our skilled chefs using traditional techniques and innovative touches. Throughout your dining journey, we take every effort to ensure attentive service and a carefully curated ambiance to enhance your experience, leaving you with unforgettable memories of our exquisite seafood and unparalleled care.

historyText:
Big Fish House, established in 2022, is a renowned omakase restaurant in San Francisco. 
With over 30 years of experience in the Japanese restaurant industry, founder Julie Huang opened her first local restaurant, Kufuya, 23 years ago and takes great pride in providing the highest level of service combined with the freshest ingredients for her latest inspiration, Big Fish House Omakase. 

Directly importing fish from Japan, including uni, scallop, kinmedai, saba, kampachi, hamachi, and Shima-aji, Big Fish House ensures the freshest and highest quality sustainable ingredients. Inspired by world famous Omakase chef Kuo Zong Kun during her travels in Asia, Julie was inspired to share the sublime art of omakase to the San Francisco Bay Area, infusing custom, personalized culinary experiences into Big Fish restaurant's DNA. 

Today, Big Fish House is a testament to Julie's dedication, offering an unforgettable omakase journey showcasing the pinnacle of Japanese cuisine and sushi art. 

businessOwnerBio:
I&#39;ve spent the last 30 years in the San Francisco restaurant industry and became inspired to bring authentic Japanese Omakase from Asia to my home in San Francisco. I love to serve creative, healthy, fresh and delicious food to my customers, treating them like they&#39;re a part of my family as they enjoy our immaculately crafted Omakase sushi &amp; Japanese cuisine. "
a Mano,(415) 506-7401,$$,4.1,1586,https://www.yelp.com/biz/a-mano-san-francisco-2?osq=Restaurants,amanosf.com,"Margherita Pizza, Bucatini All Amatriciana, Fried Chicken, Pesto Pasta, Panna Cotta, Fontina Arancini, Monterey Squid, Funghi Pizza, Bagna Cauda, Cacio E Pepe, Bucatini Pasta, Chicken Meatballs, Olive Tapenade, Gem Lettuce Salad, Squid Ink Pasta, Mushroom Pizza, Chocolate Budino, Salsiccia Pizza, Chicken Polpettine, Short Ribs","450 Hayes St San Francisco, CA 94102",Claimed,"Italian, Cocktail Bars, Pizza","Offers Delivery,Offers Takeout,Walk-ins Welcome",,"speciality:


historyText:


businessOwnerBio:
"
Che Fico Alimentari,(415) 416-6980,$$$,4.1,177,https://www.yelp.com/biz/che-fico-alimentari-san-francisco?osq=Restaurants,cheficoalimentari.com,"Cacio E Pepe, Maialino Al Forno Suckling Pig, Rigatoni Amatriciana, Spinach Lasagna, Spaghetti Ragu Alla Napoletana, Burrata, Whipped Mascarpone, Suppli Al Telefono, Insalata Verde, Chopped Salad, Spot Prawn, Sausage Pizza, Yukon Gold, Salumi, Melanzana Alla Parmigiana, Garlic Confit, Margherita Pizza, Profiterole, Prawn Scampi, Pappardelle Al Ragu","834 Divisadero St San Francisco, CA 94117",Claimed,Italian,"Takes Reservations,Offers Delivery,Offers Takeout",,"speciality:
Alimentari is an extension of Che Fico, looking to transport the Italian experience of stopping in to your favorite neighborhood shop for a sit down dinner, snacks with friends or to simply buy wine and dried pasta to bring home. Che Fico Alimentari’s menu feature’s more traditional Italian fare than its upstairs neighbor. We  focus on antipasti, classic pasta dishes and local and imported cheeses. Alimentari has a strong focus on house made pasta and pizza featuring Italian classics. Imported Italian cured meats will also be available alongside our house made salumi.  


historyText:
None

businessOwnerBio:
None"
Little Original Joe’s,(415) 759-1155,,4.3,282,https://www.yelp.com/biz/little-original-joes-san-francisco?osq=Restaurants,littleoriginaljoes.com,"Rotisserie Chicken, Ultimate Paradise, Cheese Pizza, Pizza by the Slice, Chicken Parm Sub, Butter Cake, Pizza Salad, Italian Job Pizza, Pesto Pepperoni Pizza, Eggplant Pizza, Mushroom and Spinach Fusilli, Harry the Greek, Spicy Honey Bomba Wings, Marinara, Roasted Chicken, Kale Salad, Pepperoni Slices, Burrata, Buffalo Chicken Wings, Caesar Salad","393 W Portal Ave San Francisco, CA 94127",Claimed,"Pizza, Italian, Beer, Wine & Spirits","Offers Delivery,Offers Takeout,Accepts Credit Cards",,"speciality:


historyText:


businessOwnerBio:
"
Pizzetta 211,(415) 379-9880,$$,4.3,1474,https://www.yelp.com/biz/pizzetta-211-san-francisco?osq=Restaurants,pizzetta211.com,"Farm Egg Pizza, San Marzano Tomato Sauce Pizzetta, Cheese Salad, Fiore Sardo, Field Green Salad, Organic Greens Salad, White Anchovies Pizzetta, Pepperoni Pizza, Margherita Pizza, Cheese Pizza","211 23rd Ave San Francisco, CA 94121",Claimed,"Pizza, Salad, Wine Bars",Offers Takeout,,"speciality:


historyText:


businessOwnerBio:
"
Poesia Café,,,4.6,44,https://www.yelp.com/biz/poesia-caf%C3%A9-san-francisco?osq=Restaurants,poesiasf.com,"Mortadella Focaccia, Cornetti, Ham and Cheese Croissant, Cinnamon Raisin Roll, Caprese Sandwich, Cornetto Prosciutto Brie, Raspberry Pistachio Brioche, Speck Caprese Focaccia, Tomato Focaccia","4076 18th St San Francisco, CA 94114",Claimed,"Coffee & Tea, Italian","Offers Delivery,Offers Takeout,Accepts Credit Cards,Outdoor Seating",,"speciality:


historyText:


businessOwnerBio:
"
Brenda’s Meat &amp; Three,(415) 926-8657,$$,4.2,1486,https://www.yelp.com/biz/brendas-meat-and-three-san-francisco-3?osq=Restaurants,brendasmeatandthree.com,"Fried Chicken, Cajun Chicken Sandwiches, Eggs Benedict, Meat & Three Combo, Crawfish Beignets, Spicy Chicken Sandwich, Red Beans and Rice, Chicken Cutlet, French Toast, Spicy Fried Chix Sandwich, Fried Catfish, Okra and Tomato Maque Choux, Pork Belly, Johnny Cakes, Chocolate Beignets, Garlic Spinach, Delta Scramble, Stuffed Johnnycakes, Two Egg Breakfast, Fried Oysters","919 Divisadero St San Francisco, CA 94115",Claimed,"Breakfast & Brunch, Southern, Cajun/Creole","Takes Reservations,Offers Delivery,Offers Takeout",Brenda B.,"speciality:
Down home Southern cooking with some serious flair from the Brenda's French Soul Food crew

historyText:
Brenda's Meat & Three opened in 2014.

businessOwnerBio:
Chef Brenda Buenviaje co-owns Brenda&#39;s French Soul Food and Brenda&#39;s Oaklland with her wife Libby Truesdell. &nbsp;Brenda and Libby have partnered with the former owners of Blue Jay Cafe, Andre and Jennifer Larzul, to bring you Brenda&#39;s Meat &amp; Three."
Prik Hom,(628) 626-4797,,4.6,42,https://www.yelp.com/biz/prik-hom-san-francisco?osq=Restaurants,,"Grilled Beef Wrap Curry, Hat Yai Fried Chicken, Gor Lea Grilled Halibut Curry, Umami Spicy Shrimp, Squid Curry, Homemade Lychees Popsicle, Fried Egg Salad, Branzino Salad, Beef Chuck & Cucumber Salad, Beef Chuck Steak Salad, Jasmine Rice, Chicken Turmeric Soup, Thai Beef Jerky, Tom Yum Soup, Eggplant Basil, Fried Branzino, Lotus Salad, Shrimp Curry","3226 Geary Blvd San Francisco, CA 94118",Claimed,Thai,Takes Reservations,,"speciality:
We try to to present the world to know real Thai cuisine and the culture of Thai food. This idea stared when chef Jim interned in American restaurant and saw many chefs interested in Japanese cooking technique so much then he thought ""We also have the excellent Thai cooking method, so why don't I use it!"" 
Prik Hom focus on Thai traditional cooking method and present in modern way. Prik Hom menu will change every season depend on California produce.

historyText:
None

businessOwnerBio:
None"
Georgian Cheese Boat,(415) 757-0562,,4.6,71,https://www.yelp.com/biz/georgian-cheese-boat-san-francisco?osq=Restaurants,georgiancheeseboat.com,"Kupati, Beef Khinkali, Ajapsandali, Georgian Dumplings, Lamb Dumplings, Minced Kebab, Mushroom Dumplings, Chakapuli, Blackbery Glazed Quail, Phkali, Beef Dumpling, Napoleon Cake, Imeruli, Softer Honey Cake, Bacon Khachapuri, Beet Salad, Chicken Tabaka, Combo Salad, Chicken Kebab","1224 Grant Ave San Francisco, CA 94133",Claimed,Georgian,"Offers Delivery,Offers Takeout,Accepts Credit Cards,Outdoor Seating",,"speciality:
First and the only Georgian Restaurant in San Francisco. Authentic Georgian food. It's one of the best meals you ever head. Pretty ambitious statement, but we stand behind it. 

historyText:
None

businessOwnerBio:
None"
Picaro,(415) 431-4089,$$,3.9,1934,https://www.yelp.com/biz/picaro-san-francisco?osq=Restaurants,picarocafe.com,"Patatas Bravas, Garlic Shrimp, Seafood Paella, Tortilla De Patata, Fried Calamari, Squid Ink Paella, Grilled Artichokes, Gambas Al Ajillo, Lobster Tail, Croquetas De Pollo, Chicken Croquettes, San Francisco Favorite, Paella De Mariscos, Garlic Chicken, Paella De Arroz Negro, Potato and Onion Omelet, Jamon Serrano En Pan Con Tomate, Lobster Paella, Rabbit Stew, Patatas Aioli","3120 16th St San Francisco, CA 94103",Claimed,"Spanish, Basque, Tapas Bars","Takes Reservations,Offers Delivery,Offers Takeout",,"speciality:


historyText:


businessOwnerBio:
"
Waraku,(415) 292-3388,$$,3.8,1041,https://www.yelp.com/biz/waraku-san-francisco-2?osq=Restaurants,ramenwaraku.com,"Tonkotsu Ramen, Pork Belly, Black Garlic Tonkotsu, Spicy Tan Tan, Shoyu Ramen, Smoked Egg, Spicy Miso, Chicken Karaage, Garlic Tonkatsu, Seaweed Salad, Braised Pork, Sashimi Salad, Tonkotsu Deluxe, Deluxe Ramen, Ramen Noodles, Fried Chicken, Tan Tan Ramen, Tan Tan Noodles, Dipping Noodles, Fried Squid","1638 Post St San Francisco, CA 94115",Claimed,"Ramen, Noodles, Izakaya","Offers Delivery,Offers Takeout",,"speciality:


historyText:


businessOwnerBio:
"
Jaranita,(415) 655-9585,$$,4.2,459,https://www.yelp.com/biz/jaranita-san-francisco-4?osq=Restaurants,jaranitasf.com,"Lomo Saltado, Arroz Con Pollo, Tres Leches, Arroz Con Mariscos, Chicken Empanada, Veggie Empanada, Beef Empanada, Cebiche Clasico, Coliflor","3340 Steiner St San Francisco, CA 94123",Claimed,"Peruvian, Latin American, Cocktail Bars","Takes Reservations,Offers Delivery,Offers Takeout",,"speciality:
Happy Hour Every Monday to Friday 4 to 6pm in our Bar Lounge and Outside Patio

historyText:
None

businessOwnerBio:
None"
Izakaya Sozai,(415) 371-9721,$$,3.8,2183,https://www.yelp.com/biz/izakaya-sozai-san-francisco?osq=Restaurants,,,,,,,,"speciality:
Japanese fusion tapas and sake

historyText:
None

businessOwnerBio:
None"
Kui Shin Bo,(415) 922-9575,$$,3.8,958,https://www.yelp.com/biz/kui-shin-bo-san-francisco-2?osq=Restaurants,Miyako Mall,"Volcano Roll, Shrimp Tempura, California Roll, Bento Box, Beef Teriyaki, Black Garlic Ramen, Takoyaki, Chicken Katsu, Vegetable Tempura, Baked Salmon Roll, Curry Rice, Seafood Okonomiyaki, Sushi Burrito, Spicy Crunchy Roll, Caterpillar Roll, Saba Shio, Veggie Tempura, Chicken Teriyaki, Agedashi Tofu, Super Dynamite Roll","22 Peace Plz Fl 2 San Francisco, CA 94115",Claimed,"Japanese, Sushi Bars","Offers Delivery,Offers Takeout,Vegan Options",,"speciality:
Casual family-run restaurant with sushi, ramen, and a full menu of Japanese specialties. Try our innovative sushi rolls and reasonable priced combo meals!

At Kui Shin Bo in San Francisco Japantown, we pride ourselves in being an authentic Japanese restaurant with full menu of sushi, sashimi, ramen, as well as other Japanese specialties, with delivery and catering. Along with tried and true Japanese classics like and donburi, you can explore your palette by trying our innovative menu items such as our sushi burritos and okonomiyaki, a type of grilled savory pancake. If you're looking for a full Japanese dining experience in addition to sushi and ramen, try out our combo options when you dine at our San Francisco Japan Town Location. We also offer a catering program, so you can enjoy authentic Japanese food at home, at your events, or with groups, both large and small. Conveniently located on in Japan town walking distance to Union Street and Chestnut Street.

historyText:
Dedicated to an authentic Japanese culinary experience, the restaurant name kuishinbo meaning ""a person who loves to eat"" in Japanese, reflecting their commitment to deliver a completely satisfying dining experience, whether it is sushi, ramen, or shabu shabu. Whenever you find yourself in San Francisco, or need an authentic catering option, you can depend on us at Kui Shin Bo to indulge in your Japanese cuisine cravings.

businessOwnerBio:
None"
Damn Fine,(415) 941-7503,$$,4.3,298,https://www.yelp.com/biz/damn-fine-san-francisco-2?osq=Restaurants,damnfineco.com,"Sausage and Sage Pizza, Pepperoni Pizza, Mushroom Dream, Potato Pesto Pizza, Caesar Salad, Pig in the Woods, Alotta Burrata, Mushroom Pizza, Cheese Please Pizza, Margherita Pizza, Summer Salad, Meatballs, Acapulco Pizza, Clam Pie, Alottoa Burrata Pizzas, Fritto Misto","3410 Judah St San Francisco, CA 94122",Claimed,"Pizza, Wine Bars, Cocktail Bars",Offers Takeout,,"speciality:


historyText:


businessOwnerBio:
"
Birch &amp; Rye,(415) 796-2265,,4,110,https://www.yelp.com/biz/birch-and-rye-san-francisco-2?osq=Restaurants,birchandryesf.com,"Cured Salmon, Borscht, Black Cod, Almond Wood Smoked Sturgeon, Sea Buckthorn, Golubtsi, Mushroom Stroganoff, Squid Ink Pelmeni, Petite Rye, Einkorn Noodles, Honey Cake, Liberty Duck Liver, Monk Liver Pate, Blinis, Duck Egg, Beef Stroganoff, Siberian Kale, Ukha, Svekolnik","1320 Castro St San Francisco, CA 94114",Claimed,"Russian, Vegan, Wine Bars","Takes Reservations,Pescatarian Options",Randy N.,"speciality:
Birch & Rye presents a modern interpretation of Russian cuisine. Using premium and niche ingredients, the restaurant reimagines Russian food through a California lens, featuring unique takes on traditional plates that are deconstructed. Among the light & seasonal dishes are several gluten-free and vegetarian options. A standout beverage program, which features handcrafted infused vodkas, memorable Champagnes, and Central & Eastern European wines complements the food offerings.

historyText:
Birch and Rye first opened its doors on February 9th, 2022.  

businessOwnerBio:
Birch &amp; Rye&#39;s General Manager and Beverage Director, Randy Nakagawa, is a Certified Sommelier with the Court of Master Sommeliers and earned his Advanced Level with WSET. He&#39;s earned and maintained the prestigious Wine Spectator&#39;s Grand Award at different restaurants in his career. "
Sonamu Korean Restaurant,(415) 578-6808,$$,4.5,48,https://www.yelp.com/biz/sonamu-korean-restaurant-san-francisco-2?osq=Restaurants,sonamusf.com,"Chicken Wing, Japchae, Spicy Pork Belly, Soft Tofu Stew, Ginseng Chicken Soup, Korean Fried Chicken, Spicy Fried Chicken, Beef Bibimbap, Beef Ribeye, Daeji Bulgogi, Soondubu Jjigae, Mandu, Dumplings Soup, Pigs Feet, Tripe, Ramen","5716 Geary Blvd San Francisco, CA 94121",Claimed,Korean,"Takes Reservations,Offers Delivery,Offers Takeout",,"speciality:


historyText:


businessOwnerBio:
"
MaMa Ji’s,(415) 626-4416,$$,3.8,879,https://www.yelp.com/biz/mama-jis-san-francisco-2?osq=Restaurants,mamajissf.com,"Shumai, Kung Pao Tofu, Chicken, or Shrimp, Spicy Cucumber Salad","4416 18th St San Francisco, CA 94114",Claimed,"Dim Sum, Szechuan","Offers Delivery,Offers Takeout",Mama Ji J.,"speciality:
We're proud to serve the home-style Chinese food that Lily grew up eating with her family. She was born in Sichuan, and many of our specialties are home-style Sichuan dishes. 

Come in and enjoy: Delicious Sichuan specialties, Tasty Dim Sum made fresh daily in-house. A great selection of Belgian beers. As long-time residents of the neighborhood, we look forward to welcoming you to Mama JI's.

historyText:
Mama Ji serves the home-style food she was raised on in China.  Born in Sichuan, this includes spicy Sichuan classics, hand-made dumplings and tasty dim sum.  Her food pairs well with our Belgian beer selection, 8 drafts + many more bottles, and outstanding wines.

businessOwnerBio:
Born in Sichuan, China, Mama Ji arrived in San Francisco and immediately missed the flavors of home. &nbsp;After settling in the Castro neighborhood, she found the district she loved was missing good Sichuan food. &nbsp;So she decided to take matters into her own hands...and Mama Ji&#39;s restaurant was born."
Cole Valley Tavern,(415) 681-7678,,4.1,82,https://www.yelp.com/biz/cole-valley-tavern-san-francisco?osq=Restaurants,colevalleytavern.com,"Fish and Chips, Smash Burger, Deviled Eggs, Carnitas Breakfast Sandwich, French Onion Sandwich, Cvt Deluxe Burger, Roasted Chicken, Cheeseburger, Meatloaf, Avocado Toast, Pozole, Calamari","900 Cole St San Francisco, CA 94117",Claimed,"Cocktail Bars, Seafood","Offers Delivery,Offers Takeout,Walk-ins Welcome,Accepts Credit Cards",,"speciality:


historyText:


businessOwnerBio:
"
Kiln,(415) 982-9722,,4.6,20,https://www.yelp.com/biz/kiln-san-francisco-3?osq=Restaurants,kilnsf.com,"Fried Beef Tendon, Moon Bay Spot Prawn, Shima Aji, Mackerel, Modesto Squab, Andante Goat, Burnt Honey, Dungeness Crab, White Peach, Bread Course","149 Fell St San Francisco, CA 94102",Claimed,American (New),"Takes Reservations,Accepts Credit Cards",,"speciality:


historyText:


businessOwnerBio:
"
Unco Frank’s,(510) 279-8642,$$,4.5,85,https://www.yelp.com/biz/unco-frank-s-san-francisco?osq=Restaurants,uncofranks.com,"Hawaiian Mac Salad, Coconut Shrimp, Fried Chicken Plate, Grilled Kalbi Plate, Mini Fish Sandos, Auntie Rob 's Fried Rice, Kalua Pork Sliders, Fish Sandwiches, Grilled Teri Chicken, Da Plate, Chicken Teriyaki, Ahi Poke, Teri Beef, Kimchi","443 Clement St San Francisco, CA 94118",Claimed,Hawaiian,"Offers Delivery,Offers Takeout,Outdoor Seating,Casual, Intimate",,"speciality:
Unco Frank's serves a wonderful selection of Ono local-style dishes, committed to changing how people eat Hawaiian food. We use only the best ingredients and recipes ensuring that our customers will experience the full flavors of Hawaii made with hella Aloha! 

historyText:
None

businessOwnerBio:
None"
Al Carajo,(415) 400-4146,$$,4.9,111,https://www.yelp.com/biz/al-carajo-san-francisco?osq=Restaurants,alcarajosf.com,"Valencia Fish Tacos, Pastor Negro, Birria Pizza, Breakfast Burrito, Quesito Rico, Cochinita, Chilaquiles, Salbute, Torta De Chilaquiles, Chicken Tinga Quesadilla","3224 1/2 22nd St San Francisco, CA 94110",Claimed,Mexican,"Offers Delivery,Offers Takeout",,"speciality:
Mayan inspired cuisine 

historyText:
None

businessOwnerBio:
None"
Scott’s Chowder House,(628) 201-4567,,4.3,35,https://www.yelp.com/biz/scott-s-chowder-house-san-francisco?osq=Restaurants,scottschowderhouse.com,"Scott's Boston Style Clam Chowder, Connecticut Lobster Roll, Scotts Crab Roll","1325 Fillmore St San Francisco, CA 94115",Claimed,"Seafood, Soup","Offers Delivery,Offers Takeout,Dogs Allowed",,"speciality:


historyText:


businessOwnerBio:
"
Wilder,(415) 741-6605,$$,3.9,171,https://www.yelp.com/biz/wilder-san-francisco?osq=Restaurants,wildersfc.com,"Smoked Brisket, Whiskey French Toast, Gummy Bear Frose, Pork Chop, Bolognese Pasta, Oysters, Burrata Bruschetta, Calamari, Braised Short Ribs, Burrata & Crostini, Froze, Avocado Toast, Lobster Mac, Yuca, Patatas Bravas, Charcuterie, Grilled Cheese Brisket Sandwiches, Ribeye, Road Runner, Steamed Pork Belly","3154 Fillmore St San Francisco, CA 94123",Claimed,"American (New), Comfort Food, Breakfast & Brunch","Takes Reservations,Offers Delivery,Offers Takeout",,"speciality:
Come join us:
Wednesday for Wineboard Wednesday with a bottle of Wine and Charcuterie board for $45.
Thursday for 'Tini Thursday. $9 well 'tinis and $12 for premium 'tinis.
Friday happy hour $1.50 oysters, from 4 pm - 7 pm.
Saturday and Sunday from 11 am - 1 pm, our slushees & mimosas are just $5!

historyText:
None

businessOwnerBio:
None"
